iter	RMSE
0	689.6498707
1	655.2034669
2	627.4882919
3	598.6946832
4	575.4842287
5	553.9667782
6	530.9982214
7	513.9269453
8	498.2545243
9	481.6425913
10	467.2704477
11	453.5584175
12	442.6639414
13	434.5719896
14	423.8242618
15	415.3503016
16	406.8017309
17	398.9031914
18	392.0908739
19	385.0555659
20	378.8178801
21	373.9284573
22	370.0653446
23	363.9969414
24	361.0105107
25	356.9741134
26	352.2073684
27	348.1773816
28	345.1923916
29	341.2372285
30	337.5483728
31	332.7948944
32	329.9461535
33	327.0051508
34	323.18767
35	319.867629
36	317.3943391
37	315.6475017
38	312.9707372
39	311.4638636
40	308.8106051
41	307.1712625
42	305.9858318
43	304.3420364
44	303.35885
45	302.2842759
46	300.0003675
47	298.7475058
48	297.7805549
49	296.1317077
50	294.4483375
51	293.2168416
52	292.0446297
53	290.4207485
54	288.2740432
55	285.9952434
56	284.4623232
57	282.8669492
58	281.6035076
59	280.1255904
60	279.2303028
61	278.3483426
62	276.21434
63	274.2250549
64	273.0073479
65	271.4210682
66	269.2638295
67	267.779401
68	266.9882638
69	266.181742
70	265.1332442
71	263.7660952
72	263.1948518
73	262.238333
74	261.1119792
75	260.1851542
76	259.3398709
77	257.9154985
78	256.7276912
79	255.7862537
80	255.0623455
81	254.7154857
82	253.5584527
83	251.2620977
84	250.6206764
85	250.2162022
86	249.7658934
87	249.254047
88	248.8729907
89	248.3837214
90	247.495575
91	247.1118432
92	245.5052405
93	244.1396076
94	243.8601948
95	243.6136989
96	243.390619
97	242.0990691
98	241.178763
99	239.5326231
100	239.3504403
101	237.421399
102	237.2083755
103	236.8440304
104	235.6321086
105	234.0683175
106	232.5205105
107	232.267228
108	230.6792486
109	229.8426608
110	229.7151292
111	229.4978362
112	228.2802616
113	228.0625046
114	226.8893058
115	226.6286357
116	226.557598
117	226.3404699
118	225.6815163
119	225.212828
120	225.0333987
121	224.5486921
122	223.7671771
123	222.2643139
124	222.0482776
125	221.8085952
126	221.7187982
127	220.8164515
128	220.5781482
129	220.2818197
130	220.0449635
131	219.2560526
132	218.9191054
133	217.903053
134	216.8161135
135	216.7344079
136	216.1542235
137	215.9846148
138	215.8752841
139	215.2404806
140	215.1600729
141	215.0322536
142	213.4554877
143	213.2352453
144	212.4539097
145	211.5840129
146	210.7737028
147	210.1846652
148	209.0857391
149	208.3376733
150	207.7559563
151	207.6966165
152	207.6284763
153	207.4148191
154	207.2241454
155	206.8426914
156	205.5601788
157	205.3115459
158	205.2225363
159	204.3517836
160	204.3017906
161	203.386321
162	202.5982785
163	201.9135933
164	201.1407382
165	200.3390217
166	200.2506462
167	199.3482189
168	198.5179801
169	197.9271881
170	197.6750965
171	197.2911302
