iter	RMSE
172	197.2030492
173	196.7271609
174	196.4591266
175	196.2432939
176	195.3480003
177	194.8752629
178	194.3126254
179	193.7663339
180	192.8814944
181	192.6985623
182	192.6044193
183	192.4871826
184	192.451098
185	191.997257
186	191.9036475
187	191.0258169
188	190.4864414
189	189.7074209
190	189.2393635
191	188.7810313
192	188.1958054
193	187.6780303
194	187.0588234
195	187.0277134
196	186.8131793
197	186.1842032
198	185.5341427
199	185.1600536
200	185.0193605
201	184.6650531
202	184.2500627
203	184.0442574
204	184.0120888
205	183.8804261
206	183.3302953
207	183.1067745
208	182.8516774
209	182.4477273
210	181.760728
211	181.6891627
212	181.0759678
213	180.8263126
214	180.4341948
215	180.0410702
216	179.5872556
217	178.9222385
218	178.4156268
219	177.9934401
220	177.8194581
221	177.7063267
222	177.282355
223	177.0861042
224	177.0460555
225	176.3474616
226	175.7422981
227	175.274436
228	175.0024518
229	174.8588809
230	174.5356882
231	174.1890262
232	173.7161239
233	173.4385764
234	173.2381659
235	172.7773721
236	172.562359
237	172.2097791
238	172.1360277
239	171.399639
240	171.3000077
241	171.1841248
242	171.1506641
243	170.8566845
244	170.4916799
245	169.8255858
246	169.7696472
247	169.333321
248	169.3058583
249	169.2205412
250	168.7324973
251	168.574938
252	168.5046674
253	167.8407369
254	167.7063239
255	167.4894755
256	167.0832805
257	166.8886088
258	166.5156636
259	165.8107965
260	165.7510385
261	165.7088171
262	165.5506306
263	165.2150612
264	164.824795
265	164.4056436
266	164.0179984
267	163.6897035
268	163.38899
269	163.3226398
270	162.8957603
271	162.5014081
272	162.1770533
273	162.0581155
274	161.9015566
275	161.576381
276	161.4619379
277	161.117064
278	161.0515664
279	160.9867616
280	160.9343228
281	160.8050475
282	160.6980856
283	160.3290492
284	160.2431997
285	159.7542585
286	159.4781668
287	159.1313651
288	158.5163106
289	158.0926116
290	157.9417214
291	157.7926513
292	157.5046913
293	157.0529051
294	156.5686991
295	156.2654852
296	156.1738439
297	155.7889207
298	155.4437075
299	155.1387256
300	154.9509288
301	154.9108477
302	154.800513
303	154.5844784
304	154.2685504
305	154.2004775
306	153.8690625
307	153.4153938
308	153.2719872
309	152.895067
310	152.5822581
311	151.8385357
312	151.7518404
313	151.6837015
314	151.3429851
315	151.262673
316	150.903706
317	150.6441521
318	150.6063404
319	150.1506077
320	150.0313829
321	149.9860215
322	149.3855279
323	149.3496837
324	149.2646722
325	149.2155442
326	149.1440206
327	149.023061
328	148.8398825
329	148.7396409
330	148.4942579
331	148.4123704
332	148.319149
333	148.0365234
334	147.4991214
335	147.0337473
336	146.8574253
337	146.5366471
338	146.4351724
339	146.3565283
340	146.1137004
341	146.0475097
342	145.7455488
343	145.6252902
344	145.5508049
345	145.4390483
346	145.409312
347	145.290133
348	144.9916557
349	144.7921869
350	144.4967235
351	144.4218766
352	144.3134526
353	144.1074709
354	143.8886778
355	143.7430511
356	143.4832177
357	143.4320393
358	143.196033
359	143.1587788
360	143.0657162
361	142.9477966
362	142.8406647
363	142.4571625
364	142.2534638
365	142.2142042
366	141.8330634
367	141.3143224
368	141.2097327
369	141.1749282
370	141.1423403
371	140.9111724
372	140.4574012
373	139.9423375
374	139.4086417
375	139.3690151
376	139.3503157
377	139.131827
378	139.0663244
379	138.9027732
380	138.8587248
381	138.7765236
382	138.3581016
383	138.0676281
384	137.6672587
385	137.6232099
386	137.4093896
387	137.3245876
388	137.1889604
389	136.8949944
390	136.5574653
391	136.4837775
392	136.206603
393	135.8644192
394	135.8117985
395	135.6770315
396	135.5559029
397	135.5176697
398	135.4638744
399	135.2528014
400	135.2116737
401	135.140728
402	135.0018503
403	134.9736845
404	134.7374413
405	134.5320124
406	134.4706436
407	134.3921479
408	134.1694568
409	133.9324646
410	133.8309752
411	133.6102697
412	133.5143112
413	133.4521354
414	133.4185296
415	133.2976817
416	133.2889228
417	133.2166219
418	132.9777695
419	132.9122604
420	132.8562944
421	132.7538995
422	132.658234
423	132.4994777
424	132.477359
425	132.465405
426	132.1158731
427	131.969787
428	131.8318682
429	131.4609289
430	131.0956188
431	131.0136877
432	130.9036431
433	130.6843799
434	130.5551387
435	130.3450661
436	130.2651046
437	130.13269
438	129.9942472
439	129.7425865
440	129.6695814
441	129.3144347
442	128.9316591
443	128.743154
444	128.7165535
445	128.3733647
446	128.3120669
447	128.1252207
448	128.0114154
449	127.5850024
450	127.5516476
451	127.2366985
452	127.1400573
453	126.9956371
454	126.8616465
455	126.7577433
456	126.6544626
457	126.4466713
458	126.3692472
459	126.1366047
460	126.0466773
461	125.993359
462	125.7284342
463	125.575147
464	125.3812283
465	125.2513342
466	125.0532946
467	124.9924646
468	124.9526911
469	124.9222586
470	124.654991
471	124.484363
472	124.3914412
473	124.2050079
474	123.9030288
475	123.8584951
476	123.5866897
477	123.4561514
478	123.4034225
479	123.1061228
480	122.7934662
481	122.5896053
482	122.3608673
483	122.1034198
484	121.7921797
485	121.5954165
486	121.3419158
487	121.3132684
488	121.1927272
489	121.1421962
490	121.0538242
491	120.8746396
492	120.8431039
493	120.7044711
494	120.6733999
495	120.5450244
496	120.3749668
497	120.1118004
498	120.085616
499	120.0018265
500	119.9657803
501	119.8962892
502	119.7987375
503	119.7046636
504	119.6372759
505	119.5128727
506	119.440918
507	119.252072
508	119.1817319
509	119.0476229
510	119.0013041
511	118.9532423
512	118.8996164
513	118.7382129
514	118.5986476
515	118.5263029
516	118.3554254
517	118.286599
518	118.2564983
519	118.0830622
520	118.0144723
521	117.7577872
522	117.6729358
523	117.543764
524	117.3005904
525	117.1714913
526	117.0351331
527	116.870615
528	116.7545572
529	116.7201534
530	116.4096157
531	116.3121464
532	116.2835198
533	116.160933
534	116.0700403
535	115.8716333
536	115.7920319
537	115.6561644
538	115.5750004
539	115.3626495
540	115.2521444
541	115.2187676
542	115.180308
543	115.0155698
544	114.9309123
545	114.7550356
546	114.6464066
547	114.5172112
548	114.2249908
549	114.0844854
550	114.0228981
551	113.803082
552	113.7645417
553	113.4969168
554	113.4154362
555	113.2071634
556	113.1104977
557	112.8496569
558	112.7568068
559	112.5263576
560	112.383521
561	112.2759807
562	112.1857508
563	112.0578838
564	111.8300647
565	111.7767815
566	111.7020748
567	111.644017
568	111.480861
569	111.4442055
570	111.3160802
571	111.2560333
572	111.206986
573	111.0235534
574	111.0135724
575	110.8356578
576	110.7723123
577	110.6335522
578	110.5884615
579	110.5088736
580	110.3572621
581	110.2603907
582	110.2542931
583	110.1039236
584	110.0632707
585	109.8549901
586	109.7359964
587	109.4854105
588	109.4579356
589	109.3237443
590	109.2954154
591	109.2025043
592	109.19583
593	109.0615408
594	109.0379062
595	108.976663
596	108.888989
597	108.6301072
598	108.4812254
599	108.4448966
600	108.3062144
601	108.0780793
602	107.8662545
603	107.7602804
604	107.6782761
605	107.4719083
606	107.3583487
607	107.2154693
608	107.0573836
609	106.9290863
610	106.735923
611	106.5791254
612	106.5215049
613	106.4985239
614	106.4225302
615	106.3380648
616	106.231942
617	106.1424693
618	106.022082
619	105.8551714
620	105.7847129
621	105.6725962
622	105.664603
623	105.6293106
624	105.5717221
625	105.4583748
626	105.3244287
627	105.2015296
628	105.1274706
629	105.1016521
630	104.9347235
631	104.8321552
632	104.7409678
633	104.6106513
634	104.4527865
635	104.3664618
636	104.3289175
637	104.2999708
638	104.2806529
639	104.2559189
640	104.1285976
641	104.0973664
642	103.9563365
643	103.8991072
644	103.7152179
645	103.6184419
646	103.4195808
647	103.4100615
648	103.3247435
649	103.2245718
650	103.1522007
651	103.0112627
652	102.9755373
653	102.8673429
654	102.7339813
655	102.6717402
656	102.6109846
657	102.5668984
658	102.4204565
659	102.3928457
660	102.2712908
661	102.1499676
662	102.0861887
663	101.9816572
664	101.8410552
665	101.8022234
666	101.7843602
667	101.7134829
668	101.6839927
669	101.675737
670	101.5668524
671	101.4890068
672	101.3455979
673	101.1247154
674	101.0400814
675	100.9801069
676	100.9096941
677	100.8202744
678	100.7988046
679	100.7529141
680	100.5577057
681	100.4735609
682	100.390942
683	100.3360488
684	100.2666086
685	100.232459
686	100.2169909
687	100.2009006
688	100.1860418
689	100.0808182
690	99.93097819
691	99.86141701
692	99.79254761
693	99.775416
694	99.51200597
695	99.39587627
696	99.38310925
697	99.30628959
698	99.29017214
699	99.2777058
700	99.251203
701	99.17056298
702	99.00519545
703	98.96396595
704	98.94147191
705	98.89090628
706	98.71261695
707	98.7024245
708	98.66287697
709	98.60664508
710	98.5529748
711	98.27192352
712	98.23237872
713	98.11095845
714	97.90492917
715	97.8833633
716	97.84529023
717	97.59947427
718	97.47728054
719	97.34937459
720	97.25199861
721	97.18703956
722	97.13496393
723	97.10921362
724	97.03605113
725	97.01011456
726	96.99389416
727	96.73018243
728	96.68785098
729	96.64898692
730	96.58785759
731	96.56590771
732	96.52715214
733	96.38007345
734	96.37425891
735	96.29731919
736	96.27935868
737	96.2613502
738	96.23921514
739	96.22538111
740	96.05789623
741	95.96501143
742	95.93985712
743	95.92773562
744	95.89256194
745	95.74648647
746	95.72275316
747	95.70200072
748	95.64117241
749	95.62888689
750	95.62009895
751	95.56435762
752	95.5414858
753	95.39799897
754	95.38754545
755	95.3559105
756	95.2051005
757	94.98395191
758	94.92956667
759	94.86740667
760	94.85086517
761	94.7616835
762	94.71422592
763	94.62466403
764	94.55374481
765	94.44712388
766	94.43153022
767	94.36374728
768	94.33143258
769	94.28289608
770	94.24227487
771	94.22076181
772	94.0962846
773	93.9522643
774	93.88469136
775	93.75094124
776	93.70146077
777	93.64796259
778	93.59566712
779	93.50740275
780	93.43641761
781	93.41399422
782	93.31910483
783	93.24395227
784	93.11072459
785	92.95761618
786	92.92603862
787	92.90204174
788	92.81059103
789	92.78184446
790	92.68168549
791	92.55057619
792	92.43789891
793	92.4293706
794	92.30448438
795	92.20887457
796	92.19438356
797	92.07153926
798	91.92914732
799	91.84173387
